reading_id,vehicle_id,engine_temp_c,rpm,battery_voltage,oil_pressure_psi,brake_fluid_level_percent,speed_kmh,driving_pattern,mileage_km
314,314,97.36,2092,12.1,27.9,79.62,61,mixed,183096
315,315,90.24,2620,12.37,39.1,83.56,27,highway,270428
316,316,102.18,3215,12.65,41.4,91.03,15,traffic,192260
317,317,97.75,2072,12.68,27.6,74.84,32,mixed,273311
318,318,103.51,1915,12.49,36.3,80.06,33,highway,214512
319,319,91.31,2151,12.28,40.6,88.6,0,traffic,30957
320,320,99.09,4190,12.34,25.0,81.3,30,mixed,265434
321,321,91.16,3966,12.43,24.4,69.01,33,mixed,243835
322,322,102.07,2670,12.14,36.7,62.34,50,highway,191032
323,323,84.87,2896,11.03,30.0,49.19,76,mixed,221990
324,324,90.72,2978,11.76,19.6,67.66,62,traffic,142085
325,325,104.91,2394,13.43,22.4,66.1,38,traffic,264032
326,326,85.28,1966,12.99,36.3,64.9,79,mixed,238537
327,327,90.92,1040,12.86,45.6,86.08,21,traffic,164170
328,328,71.14,3387,13.46,42.0,65.85,29,traffic,119785
329,329,102.73,2481,12.84,50.8,72.81,54,traffic,159517
330,330,83.44,1964,12.52,49.9,87.89,43,mixed,187218
331,331,102.82,1546,12.38,26.2,66.47,45,traffic,185815
332,332,94.07,1035,11.11,39.4,65.41,49,traffic,158968
333,333,93.78,3621,11.71,44.5,63.75,16,traffic,275700
334,334,94.99,2729,12.49,44.1,47.46,57,traffic,112968
335,335,94.38,1713,10.57,32.7,50.21,75,highway,196892
336,336,103.11,3111,12.95,35.5,72.39,41,mixed,43059
337,337,99.31,2274,12.7,37.2,67.4,82,highway,51634
338,338,96.02,2032,10.69,46.6,89.49,58,traffic,123820
339,339,116.55,2327,11.92,24.2,57.51,71,highway,190755
340,340,106.82,1361,12.5,37.3,46.92,65,traffic,129049
341,341,93.55,2415,12.55,31.6,82.37,31,traffic,46572
342,342,91.85,2119,13.11,40.1,32.15,39,traffic,88737
343,343,95.93,1795,11.16,19.6,76.82,35,traffic,157697
344,344,85.32,4468,12.59,37.6,83.37,28,traffic,90144
345,345,95.33,2897,12.15,26.6,59.25,14,traffic,231977
346,346,96.98,2952,10.85,21.6,74.16,77,mixed,91083
347,347,81.59,2596,12.81,36.6,19.56,32,mixed,23934
348,348,89.36,1334,10.56,44.7,63.75,49,mixed,45953
349,349,97.58,2455,11.87,38.6,72.48,0,traffic,108408
350,350,99.98,2676,13.22,33.2,75.63,35,mixed,58616
351,351,90.04,2409,12.28,20.1,91.91,53,mixed,129703
352,352,85.8,1902,12.05,30.7,65.2,94,highway,234324
353,353,92.19,2500,12.86,26.7,31.58,43,traffic,179511
354,354,100.74,3300,12.19,28.3,44.27,34,highway,88427
355,355,95.51,3671,12.31,49.3,79.56,18,traffic,238706
356,356,89.63,1462,12.51,23.5,39.71,49,traffic,276050
357,357,87.14,1722,12.91,36.4,78.45,49,traffic,165110
358,358,102.03,1857,12.37,21.6,85.93,74,mixed,222798
359,359,102.96,3439,12.14,39.3,60.68,42,highway,49964
360,360,90.3,1745,11.91,49.7,68.12,42,highway,178234
361,361,98.73,2212,12.2,45.7,71.89,67,traffic,159333
362,362,88.75,1220,12.24,37.4,37.77,53,traffic,154354
363,363,91.72,2231,13.11,47.9,64.91,103,highway,260958
364,364,95.43,1014,12.73,40.2,71.98,26,traffic,241317
365,365,92.58,2585,13.01,11.4,53.64,77,traffic,41975
366,366,95.72,2676,12.3,40.0,98.0,22,traffic,255077
367,367,97.66,2220,11.96,11.0,86.07,43,highway,189492
368,368,109.49,3729,12.27,48.9,70.73,16,traffic,253579
369,369,102.98,3095,12.1,30.4,29.54,57,traffic,81211
370,370,84.74,2348,12.79,28.8,29.1,87,mixed,265806
371,371,103.18,2690,11.99,20.5,58.66,73,traffic,40080
372,372,87.98,4554,12.37,26.8,60.83,26,mixed,217876
373,373,97.75,1821,12.05,45.7,47.86,25,mixed,80814
374,374,92.17,2022,13.0,36.4,39.09,80,traffic,162152
375,375,96.86,3101,12.35,44.3,88.47,27,traffic,207413
376,376,96.74,1017,12.57,26.3,58.96,28,traffic,191608
377,377,94.8,3163,12.19,32.6,85.13,25,traffic,42473
378,378,101.14,2110,13.62,42.3,45.51,64,highway,127788
379,379,80.72,2059,12.41,38.6,82.9,73,traffic,29389
380,380,88.86,957,11.1,45.1,88.86,77,traffic,172299
381,381,94.79,1549,13.18,21.8,36.99,49,traffic,251299
382,382,82.82,3057,12.68,22.0,65.59,62,traffic,238117
383,383,102.62,2742,12.63,20.7,49.76,3,traffic,178456
384,384,103.03,1503,11.57,42.5,84.57,34,traffic,66858
385,385,89.98,1572,12.48,41.4,19.56,0,traffic,229080
386,386,104.93,3415,12.66,33.0,71.63,12,traffic,90878
387,387,88.75,2477,12.58,42.2,31.19,55,traffic,151076
388,388,87.68,2174,11.87,31.1,56.87,76,traffic,183804
389,389,88.07,1307,11.11,42.7,68.65,42,highway,210689
390,390,85.31,3847,12.34,36.1,52.34,7,traffic,151532
391,391,82.56,2424,12.63,40.7,77.72,36,traffic,65093
392,392,88.17,1325,12.57,31.5,44.91,19,traffic,101699
393,393,98.77,777,9.68,35.5,91.98,66,mixed,202374
394,394,81.16,2212,13.07,39.1,90.36,58,traffic,205822
395,395,90.44,2723,12.59,37.0,92.15,69,mixed,202048
396,396,105.5,1140,11.66,37.2,66.83,69,mixed,197665
397,397,90.48,2836,11.92,33.6,81.93,4,traffic,237270
398,398,98.35,2456,12.45,41.3,28.23,34,mixed,192671
399,399,87.22,1499,11.33,36.6,71.61,43,highway,182070
400,400,96.44,2471,12.87,20.6,57.34,49,mixed,58064
401,401,91.16,2586,12.63,29.7,58.56,76,highway,158950
402,402,94.35,3051,12.5,27.9,55.4,45,mixed,73698
403,403,102.32,2059,11.92,38.3,58.49,50,traffic,47680
404,404,87.82,1259,12.95,37.7,77.38,70,traffic,100924
405,405,99.33,1681,12.59,27.1,78.11,50,traffic,222995
406,406,100.91,1404,12.27,23.9,85.85,45,traffic,62133
407,407,92.33,1506,13.08,33.9,34.16,32,mixed,229664
408,408,91.8,2875,13.05,46.8,91.97,71,mixed,171585
409,409,94.19,2982,13.08,39.1,30.8,17,traffic,131097
410,410,90.66,1670,13.19,35.1,91.27,43,mixed,56659
411,411,95.24,1989,12.78,20.3,83.99,24,mixed,110171
412,412,88.66,1505,10.19,35.8,52.54,37,highway,112465
413,413,100.37,3077,12.52,18.4,88.9,53,mixed,142753
414,414,85.95,3007,12.55,46.1,47.17,39,traffic,30398
415,415,101.31,3813,11.78,56.3,66.11,49,traffic,59439
416,416,90.4,2524,9.79,39.9,72.68,37,mixed,156558
417,417,87.32,1603,12.92,47.3,79.39,39,mixed,94640
418,418,97.66,3472,13.0,28.7,79.84,23,highway,103696
419,419,84.54,4200,12.45,39.4,59.26,28,traffic,207594
420,420,98.99,2503,12.09,29.2,69.23,45,highway,26611
421,421,83.45,2754,12.93,41.9,76.92,63,mixed,50352
422,422,91.96,2043,11.48,28.2,68.92,36,traffic,118842
423,423,87.58,2188,11.06,47.8,86.63,43,traffic,183498
424,424,106.55,1649,12.04,29.0,62.65,74,traffic,87894
425,425,105.69,3302,12.43,29.3,59.22,68,highway,246717
426,426,88.87,3277,12.76,37.5,79.92,24,traffic,221353
427,427,97.67,2826,12.97,49.7,73.5,17,traffic,76023
428,428,91.49,3756,12.11,34.7,61.41,36,traffic,72836
429,429,98.89,4178,12.67,34.2,80.39,20,traffic,248496
430,430,103.07,3348,12.12,34.9,87.99,17,traffic,185209
431,431,93.72,1753,11.16,31.0,73.24,40,traffic,196700
432,432,89.62,1521,12.25,39.3,78.04,84,mixed,86889
433,433,105.25,3143,12.83,15.2,86.83,64,traffic,160176
434,434,87.84,1363,12.31,32.2,58.6,64,mixed,193815
435,435,95.4,3437,12.58,30.8,74.77,0,traffic,205487
