reading_id,fault_label
426,Clutch Slip
427,Clutch Slip
428,Clutch Slip
429,Clutch Slip
430,Clutch Slip
431,Battery Fault
432,Healthy
433,Oil Pressure Fault
434,Oil Pressure Fault
435,Clutch Slip
436,Battery Fault
437,Battery Fault
438,Battery Fault
439,Engine Overheating
440,Oil Pressure Fault
441,Brake System Fault
442,Oil Pressure Fault
443,Battery Fault
444,Engine Overheating
445,Engine Overheating
446,Clutch Slip
447,Battery Fault
448,Brake System Fault
449,Engine Overheating
450,Battery Fault
451,Clutch Slip
452,Oil Pressure Fault
453,Battery Fault
454,Brake System Fault
455,Brake System Fault
456,Healthy
457,Clutch Slip
458,Brake System Fault
459,Oil Pressure Fault
460,Clutch Slip
461,Healthy
462,Oil Pressure Fault
463,Healthy
464,Healthy
465,Oil Pressure Fault
466,Battery Fault
467,Battery Fault
468,Clutch Slip
469,Battery Fault
470,Battery Fault
471,Clutch Slip
472,Brake System Fault
473,Battery Fault
474,Engine Overheating
475,Engine Overheating
476,Engine Overheating
477,Clutch Slip
478,Engine Overheating
479,Battery Fault
480,Healthy
481,Brake System Fault
482,Battery Fault
483,Clutch Slip
484,Oil Pressure Fault
485,Battery Fault
486,Clutch Slip
487,Battery Fault
488,Healthy
489,Brake System Fault
490,Brake System Fault
491,Battery Fault
492,Brake System Fault
493,Brake System Fault
494,Brake System Fault
495,Oil Pressure Fault
496,Battery Fault
497,Healthy
498,Healthy
499,Clutch Slip
500,Battery Fault
501,Brake System Fault
502,Brake System Fault
503,Battery Fault
504,Battery Fault
505,Battery Fault
506,Battery Fault
507,Battery Fault
508,Healthy
509,Healthy
510,Healthy
511,Battery Fault
512,Battery Fault
513,Oil Pressure Fault
514,Engine Overheating
515,Oil Pressure Fault
516,Clutch Slip
517,Engine Overheating
518,Oil Pressure Fault
519,Healthy
520,Engine Overheating
521,Brake System Fault
522,Engine Overheating
523,Engine Overheating
524,Oil Pressure Fault
525,Brake System Fault
526,Oil Pressure Fault
527,Oil Pressure Fault
528,Clutch Slip
529,Brake System Fault
530,Battery Fault
531,Battery Fault
532,Engine Overheating
533,Oil Pressure Fault
534,Healthy
535,Engine Overheating
536,Clutch Slip
537,Engine Overheating
538,Engine Overheating
539,Battery Fault
540,Healthy
541,Clutch Slip
542,Brake System Fault
543,Engine Overheating
544,Engine Overheating
545,Clutch Slip
546,Engine Overheating
547,Healthy
548,Healthy
549,Battery Fault
550,Oil Pressure Fault
551,Battery Fault
552,Clutch Slip
553,Healthy
554,Clutch Slip
555,Oil Pressure Fault
556,Brake System Fault
557,Clutch Slip
558,Battery Fault
559,Engine Overheating
560,Engine Overheating
561,Clutch Slip
562,Oil Pressure Fault
563,Battery Fault
564,Healthy
565,Oil Pressure Fault
566,Brake System Fault
567,Clutch Slip
568,Oil Pressure Fault
569,Battery Fault
570,Clutch Slip
571,Brake System Fault
572,Engine Overheating
573,Healthy
574,Brake System Fault
575,Brake System Fault
576,Clutch Slip
577,Engine Overheating
578,Oil Pressure Fault
579,Oil Pressure Fault
580,Brake System Fault
581,Engine Overheating
582,Healthy
583,Oil Pressure Fault
584,Brake System Fault
585,Clutch Slip
586,Healthy
587,Healthy
588,Engine Overheating
589,Battery Fault
590,Brake System Fault
591,Engine Overheating
592,Oil Pressure Fault
593,Oil Pressure Fault
594,Clutch Slip
595,Oil Pressure Fault
596,Healthy
597,Battery Fault
598,Oil Pressure Fault
599,Oil Pressure Fault
600,Engine Overheating
601,Healthy
602,Healthy
603,Healthy
604,Engine Overheating
605,Clutch Slip
606,Healthy
607,Oil Pressure Fault
608,Battery Fault
609,Battery Fault
610,Oil Pressure Fault
611,Oil Pressure Fault
612,Oil Pressure Fault
613,Clutch Slip
614,Clutch Slip
615,Healthy
616,Battery Fault
617,Healthy
618,Clutch Slip
619,Oil Pressure Fault
620,Oil Pressure Fault
621,Brake System Fault
622,Engine Overheating
623,Battery Fault
624,Clutch Slip
625,Clutch Slip
626,Clutch Slip
627,Engine Overheating
628,Engine Overheating
629,Brake System Fault
630,Healthy
631,Brake System Fault
632,Engine Overheating
633,Healthy
634,Clutch Slip
635,Brake System Fault
636,Healthy
637,Healthy
638,Battery Fault
639,Brake System Fault
640,Healthy
641,Battery Fault
642,Clutch Slip
643,Battery Fault
644,Engine Overheating
645,Brake System Fault
646,Oil Pressure Fault
647,Brake System Fault
648,Clutch Slip
649,Battery Fault
650,Oil Pressure Fault
651,Clutch Slip
652,Engine Overheating
653,Brake System Fault
654,Battery Fault
655,Oil Pressure Fault
656,Healthy
657,Battery Fault
658,Healthy
659,Oil Pressure Fault
660,Engine Overheating
661,Engine Overheating
662,Engine Overheating
663,Battery Fault
664,Brake System Fault
665,Brake System Fault
666,Healthy
667,Battery Fault
668,Healthy
669,Brake System Fault
670,Brake System Fault
671,Engine Overheating
672,Engine Overheating
673,Oil Pressure Fault
674,Battery Fault
675,Engine Overheating
676,Brake System Fault
677,Oil Pressure Fault
678,Engine Overheating
679,Brake System Fault
680,Clutch Slip
681,Engine Overheating
682,Brake System Fault
683,Oil Pressure Fault
684,Oil Pressure Fault
685,Oil Pressure Fault
686,Clutch Slip
687,Healthy
688,Clutch Slip
689,Engine Overheating
690,Clutch Slip
691,Healthy
692,Engine Overheating
693,Clutch Slip
694,Oil Pressure Fault
695,Healthy
696,Engine Overheating
697,Healthy
698,Battery Fault
699,Clutch Slip
700,Healthy
701,Oil Pressure Fault
702,Clutch Slip
703,Brake System Fault
704,Healthy
705,Healthy
706,Brake System Fault
707,Oil Pressure Fault
708,Brake System Fault
709,Battery Fault
710,Clutch Slip
711,Oil Pressure Fault
712,Brake System Fault
713,Healthy
714,Engine Overheating
715,Battery Fault
716,Healthy
717,Clutch Slip
718,Clutch Slip
719,Healthy
720,Battery Fault
721,Brake System Fault
722,Clutch Slip
723,Brake System Fault
724,Brake System Fault
725,Engine Overheating
726,Clutch Slip
727,Oil Pressure Fault
728,Engine Overheating
729,Oil Pressure Fault
730,Battery Fault
731,Clutch Slip
732,Healthy
733,Oil Pressure Fault
734,Brake System Fault
735,Oil Pressure Fault
736,Engine Overheating
737,Clutch Slip
738,Battery Fault
739,Brake System Fault
740,Engine Overheating
741,Oil Pressure Fault
742,Brake System Fault
743,Oil Pressure Fault
744,Battery Fault
745,Battery Fault
746,Brake System Fault
747,Healthy
748,Oil Pressure Fault
749,Brake System Fault
750,Oil Pressure Fault
751,Engine Overheating
752,Engine Overheating
753,Engine Overheating
754,Healthy
755,Engine Overheating
756,Clutch Slip
757,Engine Overheating
758,Engine Overheating
759,Healthy
760,Engine Overheating
761,Battery Fault
762,Healthy
763,Clutch Slip
764,Oil Pressure Fault
765,Clutch Slip
766,Brake System Fault
767,Oil Pressure Fault
768,Brake System Fault
769,Oil Pressure Fault
770,Clutch Slip
771,Brake System Fault
772,Clutch Slip
773,Clutch Slip
774,Clutch Slip
775,Healthy
776,Engine Overheating
777,Battery Fault
778,Clutch Slip
779,Clutch Slip
780,Oil Pressure Fault
781,Brake System Fault
782,Clutch Slip
783,Healthy
784,Engine Overheating
785,Oil Pressure Fault
786,Brake System Fault
787,Brake System Fault
788,Clutch Slip
789,Battery Fault
790,Battery Fault
791,Clutch Slip
792,Clutch Slip
793,Oil Pressure Fault
794,Engine Overheating
795,Engine Overheating
796,Engine Overheating
797,Brake System Fault
798,Brake System Fault
799,Oil Pressure Fault
800,Oil Pressure Fault
801,Brake System Fault
802,Engine Overheating
803,Battery Fault
804,Battery Fault
805,Clutch Slip
806,Clutch Slip
807,Brake System Fault
808,Clutch Slip
809,Battery Fault
810,Engine Overheating
811,Healthy
812,Engine Overheating
813,Oil Pressure Fault
814,Brake System Fault
815,Battery Fault
816,Battery Fault
817,Battery Fault
818,Oil Pressure Fault
819,Oil Pressure Fault
820,Brake System Fault
821,Healthy
822,Brake System Fault
823,Brake System Fault
824,Engine Overheating
825,Brake System Fault
826,Engine Overheating
827,Clutch Slip
828,Battery Fault
829,Brake System Fault
830,Oil Pressure Fault
831,Battery Fault
832,Engine Overheating
833,Oil Pressure Fault
834,Engine Overheating
835,Healthy
836,Healthy
837,Engine Overheating
838,Brake System Fault
839,Clutch Slip
840,Battery Fault
841,Clutch Slip
842,Engine Overheating
843,Battery Fault
844,Clutch Slip
845,Clutch Slip
846,Oil Pressure Fault
847,Battery Fault
848,Oil Pressure Fault
849,Oil Pressure Fault
850,Engine Overheating
851,Healthy
852,Battery Fault
853,Brake System Fault
854,Brake System Fault
855,Healthy
856,Oil Pressure Fault
857,Battery Fault
858,Engine Overheating
859,Healthy
860,Clutch Slip
861,Clutch Slip
862,Battery Fault
863,Brake System Fault
864,Battery Fault
865,Engine Overheating
866,Battery Fault
867,Oil Pressure Fault
868,Brake System Fault
869,Battery Fault
870,Healthy
871,Healthy
872,Clutch Slip
873,Oil Pressure Fault
874,Battery Fault
875,Battery Fault
876,Battery Fault
877,Healthy
878,Battery Fault
879,Engine Overheating
880,Battery Fault
881,Clutch Slip
882,Engine Overheating
883,Clutch Slip
884,Brake System Fault
885,Brake System Fault
886,Brake System Fault
887,Oil Pressure Fault
888,Brake System Fault
889,Brake System Fault
890,Engine Overheating
891,Clutch Slip
892,Engine Overheating
893,Engine Overheating
894,Engine Overheating
895,Battery Fault
896,Battery Fault
897,Oil Pressure Fault
898,Oil Pressure Fault
899,Clutch Slip
900,Clutch Slip
901,Oil Pressure Fault
902,Oil Pressure Fault
903,Brake System Fault
904,Engine Overheating
905,Brake System Fault
906,Brake System Fault
907,Clutch Slip
908,Engine Overheating
909,Healthy
910,Engine Overheating
911,Oil Pressure Fault
912,Battery Fault
913,Healthy
914,Clutch Slip
915,Oil Pressure Fault
916,Brake System Fault
917,Clutch Slip
918,Engine Overheating
919,Brake System Fault
920,Oil Pressure Fault
921,Healthy
922,Oil Pressure Fault
923,Brake System Fault
924,Battery Fault
925,Battery Fault
926,Brake System Fault
927,Healthy
928,Healthy
929,Brake System Fault
930,Brake System Fault
931,Battery Fault
932,Brake System Fault
933,Battery Fault
934,Clutch Slip
935,Clutch Slip
936,Brake System Fault
937,Oil Pressure Fault
938,Brake System Fault
939,Engine Overheating
940,Brake System Fault
941,Engine Overheating
942,Oil Pressure Fault
943,Healthy
944,Healthy
945,Healthy
946,Clutch Slip
947,Battery Fault
948,Clutch Slip
949,Clutch Slip
950,Engine Overheating
951,Battery Fault
952,Healthy
953,Healthy
954,Engine Overheating
955,Healthy
956,Clutch Slip
957,Engine Overheating
958,Clutch Slip
959,Clutch Slip
960,Oil Pressure Fault
961,Battery Fault
962,Brake System Fault
963,Brake System Fault
964,Clutch Slip
965,Brake System Fault
966,Clutch Slip
967,Clutch Slip
968,Oil Pressure Fault
969,Brake System Fault
970,Engine Overheating
971,Engine Overheating
972,Clutch Slip
973,Oil Pressure Fault
974,Engine Overheating
975,Oil Pressure Fault
976,Brake System Fault
977,Clutch Slip
978,Healthy
979,Battery Fault
980,Brake System Fault
981,Brake System Fault
982,Oil Pressure Fault
983,Battery Fault
984,Engine Overheating
985,Battery Fault
986,Battery Fault
987,Battery Fault
988,Brake System Fault
989,Clutch Slip
990,Clutch Slip
991,Battery Fault
992,Clutch Slip
993,Clutch Slip
994,Oil Pressure Fault
995,Healthy
996,Oil Pressure Fault
997,Battery Fault
998,Healthy
999,Oil Pressure Fault
1000,Battery Fault
1001,Oil Pressure Fault
1002,Healthy
1003,Oil Pressure Fault
1004,Brake System Fault
1005,Brake System Fault
1006,Healthy
1007,Engine Overheating
1008,Battery Fault
1009,Oil Pressure Fault
1010,Clutch Slip
1011,Healthy
1012,Brake System Fault
1013,Engine Overheating
1014,Healthy
1015,Healthy
1016,Engine Overheating
1017,Brake System Fault
1018,Brake System Fault
1019,Engine Overheating
1020,Engine Overheating
1021,Oil Pressure Fault
1022,Oil Pressure Fault
1023,Clutch Slip
1024,Brake System Fault
1025,Oil Pressure Fault
1026,Engine Overheating
1027,Engine Overheating
1028,Oil Pressure Fault
1029,Brake System Fault
1030,Battery Fault
1031,Clutch Slip
1032,Brake System Fault
1033,Healthy
1034,Engine Overheating
1035,Healthy
1036,Brake System Fault
1037,Battery Fault
1038,Healthy
1039,Engine Overheating
1040,Brake System Fault
1041,Engine Overheating
1042,Healthy
1043,Brake System Fault
1044,Clutch Slip
1045,Healthy
1046,Engine Overheating
1047,Clutch Slip
1048,Engine Overheating
1049,Oil Pressure Fault
1050,Brake System Fault
1051,Healthy
1052,Oil Pressure Fault
1053,Oil Pressure Fault
1054,Healthy
1055,Brake System Fault
1056,Battery Fault
1057,Engine Overheating
1058,Engine Overheating
1059,Clutch Slip
1060,Engine Overheating
1061,Clutch Slip
1062,Battery Fault
1063,Battery Fault
1064,Clutch Slip
1065,Clutch Slip
1066,Brake System Fault
1067,Oil Pressure Fault
1068,Battery Fault
1069,Battery Fault
1070,Clutch Slip
1071,Brake System Fault
1072,Oil Pressure Fault
1073,Healthy
1074,Battery Fault
1075,Battery Fault
1076,Engine Overheating
1077,Clutch Slip
1078,Oil Pressure Fault
1079,Engine Overheating
1080,Brake System Fault
1081,Battery Fault
1082,Battery Fault
1083,Engine Overheating
1084,Healthy
1085,Battery Fault
1086,Clutch Slip
1087,Engine Overheating
1088,Clutch Slip
1089,Brake System Fault
1090,Clutch Slip
1091,Engine Overheating
1092,Engine Overheating
1093,Battery Fault
1094,Healthy
1095,Brake System Fault
1096,Clutch Slip
1097,Brake System Fault
1098,Oil Pressure Fault
1099,Engine Overheating
1100,Healthy
1101,Battery Fault
1102,Oil Pressure Fault
1103,Engine Overheating
1104,Oil Pressure Fault
1105,Oil Pressure Fault
1106,Engine Overheating
1107,Engine Overheating
1108,Healthy
1109,Clutch Slip
1110,Brake System Fault
1111,Clutch Slip
1112,Battery Fault
1113,Brake System Fault
1114,Engine Overheating
1115,Clutch Slip
1116,Oil Pressure Fault
1117,Healthy
1118,Brake System Fault
1119,Engine Overheating
1120,Oil Pressure Fault
1121,Healthy
1122,Battery Fault
1123,Clutch Slip
1124,Brake System Fault
1125,Clutch Slip
1126,Healthy
1127,Battery Fault
1128,Brake System Fault
1129,Engine Overheating
1130,Healthy
1131,Clutch Slip
1132,Oil Pressure Fault
1133,Healthy
1134,Engine Overheating
1135,Brake System Fault
1136,Brake System Fault
1137,Brake System Fault
1138,Battery Fault
1139,Clutch Slip
1140,Oil Pressure Fault
1141,Brake System Fault
1142,Oil Pressure Fault
1143,Clutch Slip
1144,Battery Fault
1145,Battery Fault
1146,Battery Fault
1147,Brake System Fault
1148,Battery Fault
1149,Clutch Slip
1150,Healthy
1151,Clutch Slip
1152,Clutch Slip
1153,Engine Overheating
1154,Oil Pressure Fault
1155,Healthy
1156,Engine Overheating
1157,Healthy
1158,Battery Fault
1159,Clutch Slip
1160,Oil Pressure Fault
1161,Brake System Fault
1162,Oil Pressure Fault
1163,Healthy
1164,Oil Pressure Fault
1165,Brake System Fault
1166,Clutch Slip
1167,Healthy
1168,Healthy
1169,Brake System Fault
1170,Clutch Slip
1171,Battery Fault
1172,Battery Fault
1173,Engine Overheating
1174,Engine Overheating
1175,Oil Pressure Fault
1176,Battery Fault
1177,Oil Pressure Fault
1178,Oil Pressure Fault
1179,Brake System Fault
1180,Battery Fault
1181,Brake System Fault
1182,Engine Overheating
1183,Clutch Slip
1184,Oil Pressure Fault
1185,Battery Fault
1186,Clutch Slip
1187,Engine Overheating
1188,Clutch Slip
1189,Engine Overheating
1190,Brake System Fault
1191,Oil Pressure Fault
1192,Clutch Slip
1193,Battery Fault
1194,Engine Overheating
1195,Clutch Slip
1196,Engine Overheating
1197,Battery Fault
1198,Oil Pressure Fault
1199,Oil Pressure Fault
1200,Brake System Fault
1201,Healthy
1202,Battery Fault
1203,Battery Fault
1204,Battery Fault
1205,Healthy
1206,Healthy
1207,Healthy
1208,Oil Pressure Fault
1209,Healthy
1210,Battery Fault
1211,Oil Pressure Fault
1212,Clutch Slip
1213,Oil Pressure Fault
1214,Brake System Fault
1215,Engine Overheating
1216,Engine Overheating
1217,Healthy
