reading_id,vehicle_id,make,model,year,engine_type,fuel_type,transmission,mileage_km,region_driven
175,175,Mitsubishi,Lancer,2013,4-cylinder,Petrol,Manual,128507,Battaramulla
176,176,Suzuki,Alto,2018,3-cylinder,Petrol,Automatic,176297,Battaramulla
177,177,Suzuki,Jimny,2012,4-cylinder,Petrol,Manual,54787,Kottawa
178,178,Nissan,Tiida,2020,4-cylinder,Petrol,Automatic,33876,Malabe
179,179,Honda,Civic,2009,4-cylinder,Petrol,Manual,178469,Thalawathugoda
180,180,Hyundai,Elantra,2013,4-cylinder,Petrol,Automatic,56709,Kottawa
181,181,Toyota,Vios,2009,4-cylinder,Petrol,Automatic,86903,Kottawa
182,182,Perodua,Myvi,2010,3-cylinder,Petrol,Automatic,159549,Thalawathugoda
183,183,Tata,Indica,2012,4-cylinder,Petrol,Manual,46134,Rajagiriya
184,184,Hyundai,Elantra,2014,4-cylinder,Petrol,Automatic,41729,Thalawathugoda
185,185,Suzuki,Swift,2005,4-cylinder,Petrol,Manual,28108,Athurugiriya
186,186,Suzuki,Baleno,2019,4-cylinder,Petrol,Automatic,250814,Pannipitiya
187,187,Suzuki,Jimny,2018,4-cylinder,Petrol,Manual,44384,Koswatta
188,188,Hyundai,Accent,2014,4-cylinder,Petrol,Manual,21797,Hokandara
189,189,Toyota,Corolla,2022,4-cylinder,Petrol,Manual,79976,Thalawathugoda
190,190,Mitsubishi,Attrage,2020,4-cylinder,Petrol,Automatic,140907,Koswatta
191,191,Perodua,Myvi,2011,3-cylinder,Petrol,Automatic,180593,Maharagama
192,192,Suzuki,Alto,2008,3-cylinder,Petrol,Automatic,89555,Hokandara
193,193,Toyota,Allion,2018,4-cylinder,Petrol,Automatic,227704,Kottawa
194,194,Suzuki,Baleno,2013,4-cylinder,Petrol,Automatic,92804,Malabe
195,195,Suzuki,Alto,2013,3-cylinder,Petrol,Automatic,150667,Malabe
196,196,Suzuki,Wagon R,2011,3-cylinder,Petrol,Automatic,90848,Rajagiriya
197,197,Honda,Vezel,2018,4-cylinder,Petrol Hybrid,Automatic,155033,Sri Jayawardenepura Kotte
198,198,Hyundai,Elantra,2010,4-cylinder,Petrol,Automatic,27986,Athurugiriya
199,199,Kia,Cerato,2021,4-cylinder,Petrol,Automatic,92282,Athurugiriya
200,200,Hyundai,Elantra,2020,4-cylinder,Petrol,Automatic,43954,Hokandara
201,201,Kia,Cerato,2008,4-cylinder,Petrol,Automatic,102902,Nugegoda
202,202,Toyota,Allion,2022,4-cylinder,Petrol,Automatic,192921,Hokandara
203,203,Hyundai,Accent,2008,4-cylinder,Petrol,Manual,169550,Hokandara
204,204,Toyota,Vios,2023,4-cylinder,Petrol,Automatic,141391,Boralesgamuwa
205,205,Nissan,Almera,2009,4-cylinder,Petrol,Automatic,96954,Battaramulla
206,206,Perodua,Axia,2006,3-cylinder,Petrol,Automatic,102949,Kaduwela
207,207,Toyota,Hiace,2015,4-cylinder,Diesel,Manual,230733,Hokandara
208,208,Toyota,Vios,2018,4-cylinder,Petrol,Automatic,133540,Sri Jayawardenepura Kotte
209,209,Toyota,Hiace,2007,4-cylinder,Diesel,Manual,53570,Koswatta
210,210,Perodua,Myvi,2013,3-cylinder,Petrol,Automatic,61855,Athurugiriya
211,211,Toyota,Allion,2009,4-cylinder,Petrol,Automatic,70480,Malabe
212,212,Suzuki,Swift,2014,4-cylinder,Petrol,Manual,100454,Malabe
213,213,Nissan,Almera,2023,4-cylinder,Petrol,Automatic,178197,Thalawathugoda
214,214,Toyota,Yaris,2020,4-cylinder,Petrol,Automatic,184289,Athurugiriya
215,215,Nissan,Almera,2022,4-cylinder,Petrol,Automatic,27666,Hokandara
216,216,Toyota,Hiace,2018,4-cylinder,Diesel,Manual,96839,Boralesgamuwa
217,217,Mitsubishi,Lancer,2006,4-cylinder,Petrol,Manual,257683,Hokandara
218,218,Toyota,Vios,2020,4-cylinder,Petrol,Automatic,240018,Hokandara
219,219,Toyota,Vios,2017,4-cylinder,Petrol,Automatic,106564,Hokandara
220,220,Hyundai,Accent,2005,4-cylinder,Petrol,Manual,140900,Kaduwela
221,221,Honda,Fit,2005,4-cylinder,Petrol,Automatic,273787,Thalawathugoda
222,222,Nissan,Almera,2010,4-cylinder,Petrol,Automatic,151792,Kottawa
223,223,Suzuki,Baleno,2018,4-cylinder,Petrol,Automatic,271476,Hokandara
224,224,Suzuki,Alto,2020,3-cylinder,Petrol,Automatic,125633,Athurugiriya
225,225,Toyota,Corolla,2016,4-cylinder,Petrol,Manual,24729,Battaramulla
226,226,Mazda,Axela,2015,4-cylinder,Petrol,Automatic,102397,Hokandara
227,227,Mazda,Axela,2007,4-cylinder,Petrol,Automatic,22683,Hokandara
228,228,Honda,Civic,2018,4-cylinder,Petrol,Manual,242993,Boralesgamuwa
229,229,Hyundai,Accent,2007,4-cylinder,Petrol,Manual,124410,Battaramulla
230,230,Suzuki,Alto,2010,3-cylinder,Petrol,Automatic,152907,Thalawathugoda
231,231,Hyundai,i10,2019,3-cylinder,Petrol,Automatic,151470,Hokandara
232,232,Perodua,Axia,2005,3-cylinder,Petrol,Automatic,93962,Hokandara
233,233,Kia,Rio,2020,4-cylinder,Petrol,Automatic,44219,Athurugiriya
234,234,Suzuki,Swift,2014,4-cylinder,Petrol,Manual,92592,Rajagiriya
235,235,Honda,Vezel,2011,4-cylinder,Petrol Hybrid,Automatic,73243,Boralesgamuwa
236,236,Tata,Indica,2009,4-cylinder,Petrol,Manual,187383,Kottawa
237,237,Toyota,Hiace,2023,4-cylinder,Diesel,Manual,213399,Hokandara
238,238,Mazda,Demio,2008,4-cylinder,Petrol,Automatic,118836,Koswatta
239,239,Perodua,Axia,2019,3-cylinder,Petrol,Automatic,260939,Pannipitiya
240,240,Nissan,Sunny,2021,4-cylinder,Petrol,Manual,201986,Hokandara
241,241,Honda,Civic,2005,4-cylinder,Petrol,Manual,142010,Maharagama
242,242,Toyota,Hiace,2005,4-cylinder,Diesel,Manual,184007,Rajagiriya
243,243,Perodua,Axia,2021,3-cylinder,Petrol,Automatic,213133,Boralesgamuwa
244,244,Toyota,Hiace,2008,4-cylinder,Diesel,Manual,257932,Malabe
245,245,Toyota,Vios,2017,4-cylinder,Petrol,Automatic,206988,Battaramulla
246,246,Toyota,Yaris,2010,4-cylinder,Petrol,Automatic,113836,Malabe
247,247,Honda,Vezel,2010,4-cylinder,Petrol Hybrid,Automatic,167685,Boralesgamuwa
248,248,Honda,Fit,2018,4-cylinder,Petrol,Automatic,233288,Sri Jayawardenepura Kotte
249,249,Nissan,Almera,2007,4-cylinder,Petrol,Automatic,202197,Hokandara
250,250,Nissan,Sunny,2012,4-cylinder,Petrol,Manual,118269,Maharagama
251,251,Honda,City,2016,4-cylinder,Petrol,Automatic,132142,Sri Jayawardenepura Kotte
252,252,Honda,City,2009,4-cylinder,Petrol,Automatic,33593,Nugegoda
253,253,Nissan,Tiida,2019,4-cylinder,Petrol,Automatic,113667,Malabe
254,254,Mitsubishi,Lancer,2023,4-cylinder,Petrol,Manual,124173,Hokandara
255,255,Mitsubishi,Lancer,2005,4-cylinder,Petrol,Manual,22399,Athurugiriya
256,256,Hyundai,Accent,2019,4-cylinder,Petrol,Manual,109776,Hokandara
257,257,Nissan,Almera,2005,4-cylinder,Petrol,Automatic,100886,Battaramulla
258,258,Hyundai,Elantra,2014,4-cylinder,Petrol,Automatic,279989,Battaramulla
259,259,Toyota,Axio,2017,4-cylinder,Petrol,Automatic,177224,Kaduwela
260,260,Toyota,Premio,2017,4-cylinder,Petrol,Automatic,130196,Hokandara
261,261,Honda,Civic,2010,4-cylinder,Petrol,Manual,263304,Koswatta
262,262,Suzuki,Baleno,2017,4-cylinder,Petrol,Automatic,102231,Athurugiriya
263,263,Suzuki,Alto,2010,3-cylinder,Petrol,Automatic,195904,Maharagama
264,264,Honda,Civic,2017,4-cylinder,Petrol,Manual,137305,Thalawathugoda
265,265,Toyota,Hiace,2011,4-cylinder,Diesel,Manual,240510,Thalawathugoda
266,266,Nissan,Sunny,2021,4-cylinder,Petrol,Manual,118091,Hokandara
267,267,Tata,Indica,2009,4-cylinder,Petrol,Manual,131305,Pannipitiya
268,268,Suzuki,Baleno,2016,4-cylinder,Petrol,Automatic,230019,Hokandara
269,269,Toyota,Hiace,2011,4-cylinder,Diesel,Manual,175877,Nugegoda
270,270,Honda,Grace,2009,4-cylinder,Petrol Hybrid,Automatic,154328,Maharagama
271,271,Toyota,Vios,2010,4-cylinder,Petrol,Automatic,242502,Battaramulla
272,272,Toyota,Corolla,2005,4-cylinder,Petrol,Manual,240765,Pannipitiya
273,273,Toyota,Allion,2023,4-cylinder,Petrol,Automatic,174937,Thalawathugoda
274,274,Suzuki,Wagon R,2008,3-cylinder,Petrol,Automatic,207881,Thalawathugoda
275,275,Suzuki,Jimny,2009,4-cylinder,Petrol,Manual,122400,Battaramulla
276,276,Hyundai,Accent,2012,4-cylinder,Petrol,Manual,22590,Koswatta
277,277,Honda,Civic,2013,4-cylinder,Petrol,Manual,242964,Thalawathugoda
278,278,Hyundai,Accent,2016,4-cylinder,Petrol,Manual,164706,Malabe
279,279,Suzuki,Alto,2006,3-cylinder,Petrol,Automatic,79361,Hokandara
280,280,Toyota,Hiace,2006,4-cylinder,Diesel,Manual,275361,Battaramulla
281,281,Suzuki,Alto,2011,3-cylinder,Petrol,Automatic,96053,Kaduwela
282,282,Suzuki,Wagon R,2012,3-cylinder,Petrol,Automatic,172199,Hokandara
283,283,Mitsubishi,Attrage,2013,4-cylinder,Petrol,Automatic,88319,Malabe
284,284,Mazda,Demio,2009,4-cylinder,Petrol,Automatic,54977,Boralesgamuwa
285,285,Perodua,Myvi,2007,3-cylinder,Petrol,Automatic,31927,Hokandara
286,286,Tata,Indica,2010,4-cylinder,Petrol,Manual,46705,Malabe
287,287,Tata,Indica,2016,4-cylinder,Petrol,Manual,110268,Athurugiriya
288,288,Mitsubishi,Attrage,2021,4-cylinder,Petrol,Automatic,174099,Kottawa
289,289,Toyota,Yaris,2019,4-cylinder,Petrol,Automatic,177156,Rajagiriya
290,290,Toyota,Corolla,2016,4-cylinder,Petrol,Manual,215325,Kaduwela
291,291,Toyota,Axio,2012,4-cylinder,Petrol,Automatic,218140,Malabe
292,292,Nissan,Tiida,2008,4-cylinder,Petrol,Automatic,124019,Athurugiriya
293,293,Toyota,Allion,2017,4-cylinder,Petrol,Automatic,217992,Thalawathugoda
294,294,Kia,Rio,2022,4-cylinder,Petrol,Automatic,144125,Pannipitiya
295,295,Suzuki,Baleno,2020,4-cylinder,Petrol,Automatic,70870,Thalawathugoda
296,296,Toyota,Hiace,2013,4-cylinder,Diesel,Manual,179662,Athurugiriya
297,297,Suzuki,Swift,2020,4-cylinder,Petrol,Manual,253232,Malabe
298,298,Tata,Indica,2022,4-cylinder,Petrol,Manual,52748,Nugegoda
299,299,Mitsubishi,Lancer,2007,4-cylinder,Petrol,Manual,37369,Hokandara
300,300,Perodua,Axia,2022,3-cylinder,Petrol,Automatic,179375,Battaramulla
301,301,Mitsubishi,Attrage,2006,4-cylinder,Petrol,Automatic,115370,Nugegoda
302,302,Honda,City,2022,4-cylinder,Petrol,Automatic,220905,Pannipitiya
303,303,Mazda,Demio,2008,4-cylinder,Petrol,Automatic,184441,Battaramulla
304,304,Suzuki,Swift,2008,4-cylinder,Petrol,Manual,133998,Hokandara
305,305,Nissan,Sunny,2019,4-cylinder,Petrol,Manual,136760,Malabe
306,306,Mazda,Axela,2010,4-cylinder,Petrol,Automatic,272718,Hokandara
307,307,Hyundai,i10,2009,3-cylinder,Petrol,Automatic,179500,Maharagama
308,308,Suzuki,Swift,2018,4-cylinder,Petrol,Manual,160541,Athurugiriya
309,309,Honda,Civic,2017,4-cylinder,Petrol,Manual,195587,Sri Jayawardenepura Kotte
310,310,Suzuki,Jimny,2005,4-cylinder,Petrol,Manual,136524,Kaduwela
311,311,Mazda,Axela,2016,4-cylinder,Petrol,Automatic,107661,Kaduwela
312,312,Toyota,Yaris,2012,4-cylinder,Petrol,Automatic,50624,Koswatta
313,313,Kia,Rio,2020,4-cylinder,Petrol,Automatic,59608,Hokandara
314,314,Mitsubishi,Attrage,2011,4-cylinder,Petrol,Automatic,183096,Battaramulla
315,315,Mitsubishi,Lancer,2008,4-cylinder,Petrol,Manual,270428,Koswatta
316,316,Tata,Indica,2019,4-cylinder,Petrol,Manual,192260,Battaramulla
