reading_id,fault_label,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_rolloff_mean,spectral_rolloff_std,zero_crossing_rate_mean,zero_crossing_rate_std,rms_energy_mean,rms_energy_std,dominant_freq_hz,tempo_bpm,sample_rate_hz,duration_sec,recording_env,ambient_noise_db
11,Battery Fault,-199.372,14.2786,112.6295,15.4511,-8.8547,8.83,10.0074,6.5897,-2.8077,5.533,9.3143,4.311,0.0386,4.7848,7.7717,5.5058,-6.5024,4.0759,3.3605,4.5747,3.1501,5.1767,8.0231,3.2777,-2.4676,4.9476,1934.7,203.88,1108.84,122.04,3213.65,386.15,0.07515,0.01488,0.04829,0.00708,154.7,916.9,22050,3.87,idle,59.9
12,Engine Overheating,-184.1371,15.2126,101.5143,13.0164,-7.1492,6.1122,8.1599,7.7402,-3.3889,6.1701,16.7248,7.5597,-3.0693,3.7414,9.6385,7.7754,-3.5952,3.2208,5.5903,5.1229,-1.1317,5.1411,6.209,4.8584,-0.2412,3.4588,2492.05,274.05,1445.72,250.3,4077.94,533.25,0.0972,0.02345,0.05856,0.01722,2839.8,1615.5,22050,3.36,load,60.4
13,Battery Fault,-198.7925,11.8582,116.5038,11.9469,-15.623,5.7106,8.6731,6.7732,-1.423,7.0581,9.2357,3.904,-3.5838,3.2378,9.8565,6.2654,-7.6849,4.4874,6.299,4.2528,3.5307,4.4282,7.0455,4.4884,-3.7618,3.1206,1965.33,234.61,1170.13,159.44,3346.18,373.41,0.07398,0.01439,0.05168,0.0073,141.1,1212.3,22050,4.26,idle,61.3
14,Brake System Fault,-191.0735,25.1124,94.5247,17.8882,-14.6001,11.0479,15.7271,11.5339,-9.4122,6.5682,10.1721,9.466,-1.775,7.3256,11.0636,8.3676,-7.3463,4.3783,7.8924,3.7292,-3.5722,4.2261,5.9079,4.2488,-1.09,4.3528,2642.27,402.93,1999.24,300.7,4703.24,689.31,0.1375,0.02585,0.08696,0.02444,4431.9,1011.6,22050,2.82,idle,71.2
15,Healthy,-197.4107,15.1957,107.9816,8.4952,-7.0852,6.1294,12.458,5.8064,-5.182,4.6246,7.2684,3.3781,-2.7589,3.0715,4.8594,3.5546,-2.7377,2.4588,6.1704,3.698,-1.747,2.7866,2.7147,3.4885,-0.0501,2.7367,1855.15,204.8,1045.55,132.99,2961.01,268.96,0.06323,0.01397,0.05089,0.01168,87.8,502.7,22050,3.91,idle,58.2
16,Engine Overheating,-185.6185,18.4286,111.5319,14.7073,-15.4456,10.1493,11.9889,7.7094,-1.8625,7.1466,8.6058,6.2111,-0.9565,5.2963,11.132,7.2024,-3.4258,5.5528,10.385,5.1375,-2.3813,4.2366,5.6953,4.7985,-0.9588,3.8503,2450.79,329.55,1455.06,223.61,4220.2,411.91,0.09607,0.01942,0.0568,0.01346,2858.2,1099.0,22050,4.05,revving,64.2
17,Engine Overheating,-186.7503,12.8781,108.8587,9.4251,-9.296,7.7837,7.1659,8.4709,-0.2505,6.7803,11.3979,4.6361,0.7455,6.0874,9.4295,7.5701,-7.2916,5.3945,8.0085,4.7045,-7.264,5.3493,5.9573,4.8086,0.8558,3.8497,2486.91,332.15,1531.72,225.23,4360.31,608.0,0.08906,0.0276,0.06784,0.01697,1820.4,1080.3,22050,4.11,load,69.6
18,Battery Fault,-187.5607,15.4675,112.7128,11.9617,-13.1403,6.3927,9.8602,6.625,-4.8004,5.7439,7.6625,5.8553,1.1057,5.2464,10.6574,6.1447,-5.5123,3.3835,3.8157,4.1566,1.0628,3.4165,7.6561,3.0022,-4.7029,4.6861,1898.8,178.54,1262.97,141.45,3376.0,289.67,0.07489,0.01116,0.0492,0.01217,135.8,560.5,22050,4.38,idle,65.5
19,Brake System Fault,-174.2005,28.2806,94.8143,21.3481,-12.1924,12.4871,4.9874,12.9635,-7.2662,12.435,13.527,6.4427,-7.968,7.5679,9.7541,6.1122,-6.6166,9.1224,7.4988,5.9178,-4.12,7.678,8.9521,3.9784,-2.134,4.0779,3002.52,426.6,1726.46,265.83,5211.01,654.9,0.1285,0.02037,0.06936,0.02564,3302.0,991.8,22050,3.13,load,78.0
20,Healthy,-196.1222,14.1381,111.3056,9.5452,-8.2862,5.8981,14.7526,6.3329,-6.3826,4.768,8.8225,2.9201,-2.0151,3.3388,7.5475,2.9338,-1.0862,3.578,6.218,2.898,-0.6332,2.7667,3.6609,3.5889,-0.9436,2.9078,1812.57,197.97,1022.85,108.34,3159.83,302.09,0.06097,0.01735,0.04262,0.00675,47.1,815.1,22050,4.44,revving,57.1
21,Healthy,-209.3562,9.8637,111.5252,5.7956,-5.0222,5.8765,12.7496,4.9366,-6.6628,3.9568,6.3419,4.0188,-2.5734,2.8574,6.7033,2.4359,-1.7368,1.5292,3.8403,2.605,-1.5339,3.1307,3.798,3.0933,0.3081,3.8233,1814.97,213.71,1112.27,126.67,2982.54,322.22,0.05712,0.01921,0.04964,0.00986,36.5,967.2,22050,3.26,load,70.4
22,Battery Fault,-189.0614,9.3771,117.6727,10.8637,-7.5106,6.8514,12.9651,6.4456,-1.0461,3.2237,6.4161,3.654,-0.9951,2.6499,13.2543,5.0918,-3.2893,3.2269,5.2749,4.4994,-1.9889,3.8178,9.1803,5.0131,-2.1895,5.5771,1823.25,208.74,1163.98,169.9,3479.89,352.62,0.07028,0.01446,0.05278,0.01259,112.8,818.7,22050,4.32,idle,69.5
23,Oil Pressure Fault,-178.8509,11.5806,107.669,15.3968,-5.1508,5.5956,18.0825,8.5525,-8.143,8.6769,6.3685,5.3864,-3.1435,6.4512,7.6068,4.8462,-3.4087,5.8672,6.4675,5.6779,-4.9219,4.9835,8.4182,4.3997,-1.1211,3.5719,2172.48,225.62,1275.79,122.52,3880.57,401.68,0.08068,0.01599,0.05378,0.01349,812.8,794.3,22050,3.6,idle,77.1
24,Oil Pressure Fault,-191.9401,16.8628,110.2701,12.866,-6.1612,8.2641,7.7476,7.8026,-9.0633,6.7762,8.3912,6.7868,-5.0964,6.8499,9.3674,4.4334,-1.5733,5.2287,5.1486,4.884,-1.8683,5.0159,4.512,5.2567,0.0778,2.3086,2042.33,272.0,1241.41,192.86,4024.21,403.11,0.08988,0.02024,0.05674,0.01291,1241.6,1278.1,22050,3.73,idle,68.7
25,Brake System Fault,-179.6575,21.0346,90.1863,12.704,-14.5326,15.7528,10.6611,11.274,-10.8147,8.3249,15.7585,8.4968,-4.9568,7.6843,10.41,3.9738,-3.0542,6.8809,8.8346,7.0037,-2.1271,6.8285,4.9499,5.4478,-2.1912,4.9135,2936.02,370.68,1694.01,224.83,5039.7,789.21,0.10041,0.02626,0.06027,0.01724,3906.2,1140.0,22050,3.88,idle,61.4
26,Oil Pressure Fault,-178.0786,24.7464,112.3432,15.0096,-2.8946,6.9185,12.2862,10.0665,-4.9021,8.2251,10.4658,5.01,-7.2682,7.1257,9.8949,3.8795,-4.2941,4.8971,8.5306,4.6595,-3.1931,4.7907,5.8362,3.4446,-1.9231,4.888,2023.93,239.02,1344.26,184.44,3967.11,312.21,0.0821,0.01696,0.05852,0.0145,783.3,947.6,22050,4.14,idle,64.1
27,Oil Pressure Fault,-186.798,24.0558,108.9256,14.547,-5.0023,6.0605,14.5168,9.1088,-8.1969,6.941,9.9312,4.1041,-3.311,4.3751,8.7397,4.8664,-3.597,5.0668,8.3189,5.8135,-2.6025,3.8684,3.7968,2.8308,0.3313,3.1222,2064.85,264.23,1247.22,192.96,3743.69,348.4,0.07875,0.01328,0.05807,0.01669,1409.2,1365.2,22050,3.11,idle,74.6
28,Engine Overheating,-183.478,18.4486,100.4409,17.5225,-15.318,8.6671,12.2022,6.7395,-0.533,4.9621,10.0664,3.6425,1.0688,4.5073,8.4375,6.8544,-3.3947,7.2083,9.0308,5.8319,-3.946,4.8536,6.9485,4.5526,-0.7627,3.3376,2338.78,256.77,1483.02,224.34,4104.05,500.73,0.09898,0.0237,0.06136,0.01761,2257.0,423.4,22050,2.77,revving,60.1
29,Battery Fault,-192.8534,12.6248,113.1813,10.6237,-6.911,7.9664,11.1441,5.3258,-2.3506,5.1312,6.3446,5.1064,-2.9503,1.9269,7.2055,4.5545,-5.7344,2.7161,4.4169,4.2879,-2.6894,4.1518,4.0689,4.3504,-3.887,2.8741,2002.44,211.9,1216.98,145.06,3404.97,279.61,0.0746,0.0126,0.04652,0.00948,96.9,728.2,22050,3.15,revving,64.8
30,Healthy,-199.8704,13.89,111.8613,12.3282,-9.872,8.3247,11.6052,4.5944,-4.6414,5.5052,8.8633,4.1201,-1.6212,4.5074,7.3554,3.374,-2.1741,3.9476,4.8119,3.2628,-2.1568,1.3789,6.2931,3.5956,-0.1136,2.4083,1689.42,171.94,1051.93,131.73,3095.7,330.63,0.06338,0.01469,0.04719,0.00941,86.2,1136.3,22050,2.72,idle,72.2
31,Healthy,-195.697,17.4582,112.9832,11.3033,-8.8797,5.7575,13.5632,3.9482,-6.2605,3.7176,9.8611,3.5901,-2.7771,3.2787,6.7804,2.982,-1.9127,3.2206,6.3366,2.3179,-0.9614,2.259,5.4459,1.8857,-0.8818,2.7225,1746.62,197.6,1066.97,102.08,3133.92,289.69,0.05814,0.00983,0.04579,0.01239,90.9,1010.6,22050,4.41,idle,52.0
32,Clutch Slip,-188.0758,14.8841,104.1005,17.3426,1.1011,7.5057,10.2524,5.6316,-7.4095,5.9792,8.2609,5.0713,-2.4897,4.7583,6.5095,3.7575,-1.2861,3.8796,5.6072,5.9089,-1.3681,4.1641,5.3005,3.1803,-2.1184,3.5639,1866.32,203.6,1251.24,156.02,3629.02,346.11,0.07897,0.01963,0.0543,0.01384,24.0,1981.4,22050,3.41,idle,55.1
33,Oil Pressure Fault,-197.3917,20.4207,108.395,13.1143,-8.3493,9.0363,16.4047,10.8568,-7.1897,6.6695,10.4436,7.3232,-0.2901,6.6045,5.3996,4.9744,-5.0669,3.9915,10.0754,4.6078,-3.0593,5.0601,5.0526,3.0651,-0.9682,2.8578,2053.14,255.76,1180.96,198.43,3878.22,471.07,0.07966,0.01726,0.0524,0.01054,1207.1,975.4,22050,3.86,load,66.9
34,Oil Pressure Fault,-179.1736,17.8823,111.0982,14.9056,-5.5649,9.706,10.1019,7.0837,-4.3484,6.5632,11.4241,6.5428,-11.4235,4.407,6.8037,4.3009,-3.8181,4.5492,5.5414,4.3145,-4.7608,5.533,6.9133,4.6815,-1.1497,3.2526,2300.82,213.75,1395.86,187.65,3731.9,366.91,0.0795,0.01391,0.05044,0.01403,858.3,1443.3,22050,4.29,idle,74.4
35,Clutch Slip,-193.6236,17.5449,108.6552,18.93,-8.6827,6.8273,10.9746,5.192,-8.873,4.0923,10.7811,5.2991,-3.7941,3.5197,6.3459,5.8567,-1.7832,3.3837,7.3435,4.3914,-3.6368,4.5316,6.1683,1.9541,0.1129,3.5426,2020.38,205.07,1307.37,188.08,3674.66,374.69,0.08863,0.01462,0.04929,0.01299,39.1,1617.2,22050,3.28,idle,52.8
36,Oil Pressure Fault,-194.6317,8.4183,112.5001,17.2725,-9.9993,9.8667,13.7768,7.9504,-8.6729,6.8532,11.6206,5.2805,-6.6104,4.6848,9.8118,4.0799,-2.0655,3.671,3.1258,4.3533,-1.7931,4.7965,5.9917,4.1883,-4.6004,4.3161,2003.05,220.73,1411.75,204.75,3704.09,393.15,0.08595,0.01528,0.05567,0.00989,1336.3,1039.9,22050,4.22,revving,54.3
37,Clutch Slip,-195.8603,19.2416,103.8019,10.8881,-2.5206,7.3858,13.7203,8.0166,-7.2136,6.2736,12.486,7.4103,-4.5754,4.9484,6.2555,5.7203,-2.926,3.6134,5.291,4.8299,-2.8988,3.3828,2.6448,4.0363,-1.6643,4.69,2049.86,245.93,1200.56,167.86,3719.02,375.34,0.07632,0.01222,0.0608,0.01144,17.3,1244.8,22050,3.91,revving,49.5
38,Clutch Slip,-185.5684,17.7366,112.4534,12.627,-6.3824,10.4832,13.4776,7.1198,-9.8089,4.3235,7.4654,5.9212,-4.0934,5.3882,9.7606,3.4565,-5.3877,4.0635,6.7526,5.2633,-3.4833,3.4203,5.4945,4.0341,0.3806,3.332,2049.24,186.56,1313.72,183.88,3696.84,388.22,0.08508,0.01928,0.06102,0.01025,22.3,2203.6,22050,3.13,revving,71.4
39,Engine Overheating,-176.6367,16.3115,109.4396,13.7795,-15.2325,9.8041,10.0204,7.1206,-6.5008,9.2309,9.7656,4.15,0.7415,5.4624,12.4778,5.8713,-4.0372,6.699,8.1988,5.1095,-1.1145,4.0955,6.7735,4.2277,-4.2449,4.8842,2523.54,393.63,1489.92,192.13,4778.13,440.74,0.08945,0.02221,0.06258,0.01732,2264.3,1835.3,22050,3.37,idle,66.8
40,Clutch Slip,-183.477,17.0551,108.8555,10.642,-9.0864,6.0606,10.0547,9.7464,-8.6981,4.943,13.8734,5.2017,-2.9715,2.7238,6.3008,5.5104,-5.9714,5.1776,6.0577,4.4362,-2.3871,4.5614,4.9229,4.7837,0.0872,5.2269,2031.82,225.45,1209.21,174.74,3577.05,371.17,0.07651,0.01447,0.05494,0.01021,23.9,1689.1,22050,3.37,load,56.2
41,Clutch Slip,-194.6726,20.9137,111.087,12.5595,1.8508,6.3055,15.8988,7.3415,-3.9234,5.621,13.4163,4.7994,-2.6333,5.2434,9.5479,4.5009,-2.2885,4.2022,5.347,4.7375,-2.8678,3.5961,3.2693,3.8884,1.0068,6.2574,2003.9,194.59,1275.44,171.69,3517.17,222.04,0.0793,0.01897,0.05992,0.01196,48.6,1720.5,22050,3.44,idle,65.2
42,Brake System Fault,-176.0689,19.4717,101.2684,18.1129,-12.4995,11.6481,17.4216,13.3306,-7.6074,8.7132,13.9828,8.9336,-10.2815,8.5946,13.1372,7.027,-2.5116,5.9583,9.4,4.9734,-2.6325,6.684,5.6153,3.888,-2.6126,4.4312,2740.61,333.76,1840.5,268.41,5188.81,513.58,0.10981,0.03294,0.07182,0.02111,5057.9,986.2,22050,3.19,load,48.7
43,Battery Fault,-194.3762,14.2467,114.2895,7.0773,-10.6177,8.8199,11.2332,6.5738,-1.0736,3.2452,2.7596,6.76,-3.9341,4.0538,6.1285,2.4282,-5.1337,4.3566,3.8164,1.9509,-0.6032,5.4995,4.5432,4.5905,-2.6491,2.4986,1999.0,204.74,1172.98,166.28,3380.68,356.47,0.08481,0.01351,0.05047,0.00882,205.8,178.2,22050,3.32,revving,56.1
44,Brake System Fault,-182.4931,25.8596,99.1517,9.6823,-8.533,14.8073,13.8507,13.9872,-9.6805,7.211,10.4186,10.6196,-2.6494,7.9733,6.5213,8.1194,-6.6609,7.8755,6.8543,5.3165,-4.098,3.5123,3.9277,4.8499,-3.8806,5.8221,2920.97,306.41,1623.36,272.86,5496.63,599.43,0.11932,0.01671,0.07158,0.02189,3420.2,288.5,22050,3.77,load,52.2
45,Healthy,-191.3846,13.7542,114.6375,8.476,-6.8624,4.6794,9.2778,4.5447,-4.8868,4.4877,9.7094,3.3305,-4.5039,2.0913,7.6438,2.477,-2.0411,2.1227,4.0337,2.9526,0.069,2.3209,2.4058,2.9507,-0.9142,2.6955,1841.79,131.54,1017.57,118.61,3019.75,290.76,0.06163,0.01308,0.05197,0.00864,63.0,1188.6,22050,3.9,idle,71.5
46,Clutch Slip,-190.1447,20.3834,105.926,12.1113,0.1604,8.6306,14.1747,5.9755,-6.6232,7.304,11.0314,4.4166,-5.708,4.8565,10.6151,5.4593,-4.4642,4.9097,5.9875,3.2554,-2.1446,3.6641,4.6921,3.2288,-0.5708,3.615,2004.49,278.93,1238.8,125.61,3767.69,408.59,0.07258,0.0135,0.05296,0.01087,14.5,1347.8,22050,3.25,revving,65.4
47,Clutch Slip,-186.5963,15.9998,104.6041,10.0778,-3.7271,8.2011,14.5525,6.2923,-3.4312,6.0876,9.7205,6.4546,-3.5291,5.198,6.5441,4.8222,-3.4781,5.655,8.1128,5.755,-1.0609,4.8227,6.6202,3.629,-2.7359,4.0689,2154.75,176.2,1210.5,159.73,3586.1,386.97,0.07804,0.01731,0.05496,0.0128,17.0,1404.7,22050,2.71,revving,75.9
48,Brake System Fault,-174.8986,16.6296,111.1557,20.9121,-17.1812,6.8034,9.5722,11.5268,-12.1085,8.3551,14.3847,8.5188,-4.3625,5.1045,10.4524,7.8762,-1.8324,8.0668,5.1906,2.9954,-2.3631,7.8418,5.5443,4.1575,-1.8014,6.0216,2860.92,325.52,1708.57,253.9,5205.23,751.2,0.10679,0.02067,0.07963,0.01891,3023.3,896.9,22050,3.35,idle,56.3
49,Healthy,-202.0557,15.5173,110.2015,9.3795,-6.7524,5.4716,11.448,4.8712,-5.6279,5.9618,7.7421,4.5657,-1.7837,3.3658,7.7324,2.8218,-1.5692,3.252,3.2719,2.785,-2.3014,1.8649,3.9477,3.2478,-1.7228,3.297,1809.72,182.1,1031.59,131.84,3247.01,193.47,0.06552,0.01074,0.04623,0.01317,60.6,1026.7,22050,4.0,idle,63.8
50,Engine Overheating,-175.8299,12.3528,103.7113,14.6916,-11.906,8.5523,9.1542,9.522,-1.2993,5.1435,9.2113,6.4192,-1.29,7.0879,9.754,7.586,-0.083,4.9586,8.3005,6.0328,-2.5855,5.3485,5.3671,3.5631,-1.7043,4.8024,2349.88,313.56,1644.89,223.6,4327.68,583.24,0.09909,0.01942,0.06385,0.02092,2452.8,972.0,22050,2.85,revving,51.6
51,Oil Pressure Fault,-182.0255,20.464,108.5764,14.3863,-0.0792,10.4047,16.7575,8.8995,-8.3563,6.6161,9.7883,4.9974,-3.7957,7.4343,7.9122,4.2261,-4.3029,6.6412,6.0532,3.8236,-4.0191,3.6577,6.7646,5.0367,-0.1084,3.4452,2185.41,244.52,1355.62,240.21,3828.24,337.59,0.09301,0.01567,0.05645,0.0089,1456.1,395.2,22050,3.8,load,74.7
52,Healthy,-191.0164,16.3875,117.8087,6.1352,-9.4581,7.165,13.8044,4.1671,-4.6826,6.0184,10.7237,4.288,-2.7999,3.3411,7.0539,4.2063,-2.3448,3.0691,4.9032,3.9902,-1.4572,3.5888,4.0414,2.7848,-3.0939,3.0189,1875.56,163.64,947.83,126.83,3006.08,208.45,0.05978,0.01043,0.04727,0.01158,98.4,1062.4,22050,3.77,load,56.6
53,Clutch Slip,-204.9695,17.9063,112.7168,17.435,-2.6658,8.2329,7.8238,7.2116,-10.1271,4.9193,10.5505,5.6642,-2.4621,4.7112,5.778,4.5048,-4.3456,6.0737,3.406,4.4978,-0.7354,3.3033,5.5177,4.0132,-1.4961,2.5832,2061.15,202.42,1272.94,124.73,3702.24,373.04,0.08531,0.01352,0.05103,0.01415,19.3,1788.9,22050,3.37,idle,54.9
54,Healthy,-193.329,7.8948,105.2259,7.8218,-5.9591,6.8152,15.4638,5.2828,-6.8749,5.4179,7.3758,3.3292,-4.6896,2.4575,6.3426,2.6542,-0.1418,3.0577,5.3651,3.0937,0.6628,2.4291,4.7877,2.487,-1.1456,3.297,1707.09,169.56,1050.2,129.08,3081.18,398.44,0.07122,0.00783,0.04345,0.01222,87.0,665.4,22050,3.75,revving,66.0
55,Engine Overheating,-173.283,22.3738,116.3989,17.3026,-15.0438,10.8628,9.2082,8.334,-2.8627,6.3466,10.7665,8.085,-2.1431,6.2588,11.0188,5.3601,-4.5993,7.3813,5.0252,4.3273,-5.3424,5.217,9.7854,3.017,-0.2826,5.1363,2244.76,255.58,1518.54,195.93,4343.39,626.57,0.09993,0.01921,0.06818,0.01713,2291.7,953.3,22050,3.32,load,64.3
56,Healthy,-193.6386,7.2265,116.6674,5.5661,-6.9755,6.1837,12.744,5.1877,-5.9852,4.2688,8.8522,4.1371,-3.7247,3.1899,6.0873,2.6441,-2.26,3.2633,4.6644,3.2293,0.6821,2.7076,5.3551,2.1996,-0.3332,2.8768,1893.21,165.91,1019.54,138.71,3133.36,282.58,0.05009,0.01506,0.04252,0.01115,47.0,935.0,22050,3.01,idle,62.8
57,Brake System Fault,-178.7272,17.0662,108.964,17.7426,-15.448,10.53,21.4632,11.2375,-8.1429,12.284,13.9469,9.3955,-6.9418,6.4208,10.9866,6.8871,-3.2017,6.8628,7.9305,5.8001,-5.8314,7.525,5.893,3.7701,-1.9175,4.3103,2927.32,436.43,1697.9,241.43,5224.44,605.61,0.10272,0.01653,0.08271,0.01362,2750.4,855.5,22050,3.69,load,56.4
58,Oil Pressure Fault,-181.7595,19.6615,106.5532,14.2263,-4.8004,6.9524,12.0512,9.7231,-2.7908,8.2178,9.5309,5.1427,-4.9489,7.2211,10.1459,4.9578,-2.3545,3.525,6.7071,6.4293,-2.2403,4.3405,6.2123,4.6295,-0.9063,3.5264,1955.53,205.37,1301.64,198.47,3871.82,490.03,0.07501,0.01022,0.05959,0.01754,1236.4,1046.3,22050,2.71,revving,69.5
59,Brake System Fault,-179.8684,26.2962,102.2874,14.1967,-14.2562,8.9966,10.2798,11.6242,-12.1604,8.7305,10.3005,8.6368,-6.9597,6.586,5.1367,7.2659,-5.1804,5.8202,8.7712,7.0215,0.4102,6.1663,7.3115,4.0135,-3.2645,6.1082,2720.78,505.5,1643.21,272.05,5055.18,609.08,0.11212,0.02393,0.07904,0.01957,4310.0,1020.4,22050,4.19,load,70.1
60,Healthy,-200.7182,9.2313,113.4947,6.3285,-5.584,5.0885,13.6203,5.5169,-8.2997,4.2048,9.5001,4.3823,-2.1615,2.7947,6.9026,4.0708,-1.7908,3.4934,4.7236,2.0972,-0.5102,3.3273,4.9902,2.4604,-1.742,1.7036,1810.28,201.96,1025.81,112.07,3081.93,346.79,0.06644,0.01719,0.04243,0.01002,113.5,672.7,22050,2.81,load,60.5
61,Battery Fault,-191.1569,13.1551,113.8401,8.5044,-10.572,6.4459,9.3962,7.1827,-0.3534,5.0007,7.9858,5.7413,-2.4545,4.3556,5.6955,4.2972,-7.1728,2.4622,6.3145,3.7486,1.1782,5.1937,6.8925,3.6558,-4.0768,2.0361,1907.08,191.33,1151.08,119.27,3370.72,282.6,0.07354,0.01039,0.05552,0.01104,141.1,455.8,22050,3.92,revving,71.2
